month,days,rda,rrt,deg,fee,net
2025-01,31,3890.309541,0.000000,456.804247,114.201062,3319.304233
2025-02,28,3305.983022,0.000000,573.096033,143.274008,2589.612980
2025-03,31,2163.236441,0.000000,644.048054,161.012014,1358.176373
2025-04,30,1572.992298,0.000000,475.156555,118.789139,979.046605
2025-05,31,1405.057730,0.000000,372.868089,93.217022,938.972618
2025-06,30,3561.349624,0.000000,368.239873,92.059968,3101.049783
2025-07,31,8068.124107,0.000000,480.552650,120.138163,7467.433294
2025-08,31,3385.332321,0.000000,491.302957,122.825739,2771.203625
2025-09,30,1965.836169,0.000000,421.907636,105.476909,1438.451624
2025-10,31,2968.640035,0.000000,496.098710,124.024678,2348.516647
2025-11,30,2499.649182,0.000000,612.446343,153.111586,1734.091254
2025-12,31,2801.652722,-0.000000,572.942457,143.235614,2085.474650
